station_name,latitude,longitude,drybulb,wetbulb
"PHOENIX SKY HARBOR, AZ, USA (WMO: 722780)",33.428,-112.004,"[('n5years', '47.0'), ('n10years', '47.7'), ('n20years', '48.5'), ('n50years', '49.4')]","[('n5years', '25.9'), ('n10years', '26.5'), ('n20years', '27.1'), ('n50years', '27.9')]"
"QUERETARO, MEXICO (WMO: 766250)",20.563,-100.369,"[('n5years', '35.4'), ('n10years', '36.1'), ('n20years', '36.8'), ('n50years', '37.7')]","[('n5years', '22.0'), ('n10years', '22.7'), ('n20years', '23.4'), ('n50years', '24.3')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"UNIVERSITY OF TORONTO, ON, CANADA (WMO: 715080)",43.666,-79.395,"[('n5years', '35.0'), ('n10years', '36.2'), ('n20years', '37.3'), ('n50years', '38.8')]","[('n5years', '26.8'), ('n10years', '27.7'), ('n20years', '28.5'), ('n50years', '29.6')]"
"PROVO, UT, USA (WMO: 725724)",40.219,-111.723,"[('n5years', '38.6'), ('n10years', '39.3'), ('n20years', '40.0'), ('n50years', '41.0')]","[('n5years', '22.0'), ('n10years', '22.4'), ('n20years', '22.9'), ('n50years', '23.4')]"
"SANTA MONICA, CA, USA (WMO: 722885)",34.016,-118.451,"[('n5years', '36.3'), ('n10years', '37.9'), ('n20years', '39.3'), ('n50years', '41.2')]","[('n5years', '22.8'), ('n10years', '23.5'), ('n20years', '24.1'), ('n50years', '25.0')]"
"MONTREAL TRUDEAU, QC, CANADA (WMO: 716270)",45.467,-73.750,"[('n5years', '33.8'), ('n10years', '34.7'), ('n20years', '35.5'), ('n50years', '36.6')]","[('n5years', '26.2'), ('n10years', '26.8'), ('n20years', '27.3'), ('n50years', '28.0')]"
"PHOENIX SKY HARBOR, AZ, USA (WMO: 722780)",33.428,-112.004,"[('n5years', '47.0'), ('n10years', '47.7'), ('n20years', '48.5'), ('n50years', '49.4')]","[('n5years', '25.9'), ('n10years', '26.5'), ('n20years', '27.1'), ('n50years', '27.9')]"
"HENDERSON EXECUTIVE, NV, USA (WMO: 722096)",35.976,-115.133,"[('n5years', '45.7'), ('n10years', '46.4'), ('n20years', '47.1'), ('n50years', '48.0')]","[('n5years', '23.5'), ('n10years', '24.0'), ('n20years', '24.4'), ('n50years', '24.9')]"
"COUNCIL BLUFFS, IA, USA (WMO: 725497)",41.259,-95.760,"[('n5years', '37.2'), ('n10years', '37.8'), ('n20years', '38.5'), ('n50years', '39.4')]","[('n5years', '30.0'), ('n10years', '30.8'), ('n20years', '31.5'), ('n50years', '32.5')]"
"CLAREMORE, OK, USA (WMO: 722091)",36.294,-95.479,"[('n5years', '40.4'), ('n10years', '42.0'), ('n20years', '43.6'), ('n50years', '45.7')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.5'), ('n50years', '29.2')]"
"AUSTIN EXECUTIVE, TX, USA (WMO: 720648)",30.395,-97.567,"[('n5years', '43.1'), ('n10years', '45.1'), ('n20years', '47.1'), ('n50years', '49.6')]","[('n5years', '30.5'), ('n10years', '32.5'), ('n20years', '34.5'), ('n50years', '37.0')]"
"DINWIDDIE, VA, USA (WMO: 724014)",37.183,-77.500,"[('n5years', '39.5'), ('n10years', '40.7'), ('n20years', '41.9'), ('n50years', '43.3')]","[('n5years', '29.0'), ('n10years', '29.8'), ('n20years', '30.6'), ('n50years', '31.6')]"
"FORT WAYNE INTL, IN, USA (WMO: 725330)",40.971,-85.206,"[('n5years', '36.0'), ('n10years', '37.2'), ('n20years', '38.3'), ('n50years', '39.7')]","[('n5years', '27.5'), ('n10years', '28.2'), ('n20years', '28.8'), ('n50years', '29.6')]"
"SALT LAKE CITY INTL, UT, USA (WMO: 725720)",40.778,-111.969,"[('n5years', '40.0'), ('n10years', '40.7'), ('n20years', '41.4'), ('n50years', '42.3')]","[('n5years', '20.9'), ('n10years', '21.4'), ('n20years', '21.9'), ('n50years', '22.5')]"
"CHARLESTON INTL, SC, USA (WMO: 722080)",32.895,-80.028,"[('n5years', '37.6'), ('n10years', '38.3'), ('n20years', '38.9'), ('n50years', '39.7')]","[('n5years', '28.6'), ('n10years', '29.0'), ('n20years', '29.4'), ('n50years', '29.8')]"
